ID,Hop Number,Hop Length,Hop Phase,Sight,Max Extension,Max Protraction,Max Elevattion,Max Flexion,Max Retraction,Max Depression,Phase Duration (s),Initial Elb,Initial Pro/Ret,Intial Elev/Dep,Final Elb,Final Pro/Ret,Final Elev/Dep,Mean Elb,Mean Pro/Ret,Mean Elev/Dep,Hop Duration,Elb Ang Vel,HPR Ang Vel,HED Ang Vel,Hop Duration (s),Max Extension-Max Flexion
Atlas,2,S,Initiation,Sighted,110.0845611,77.34228801,132.2842087,71.97482117,56.20775772,107.3670508,52,71.97482117,74.85773398,125.9474294,101.7302269,61.5582203,115.6701974,91.37262847,68.30400081,120.3925251,196,-286.1096705,127.8799392,98.81953901,0.104,
Atlas,2,S,Forelimb LO,Sighted,98.47765198,102.8653384,142.4027412,62.35289924,61.5582203,115.6701974,29,98.47765198,61.5582203,115.6701974,62.35289924,102.8653384,138.5236931,73.65689288,77.36137201,128.7002341,196,622.8405645,-712.1916907,-394.0257883,0.058,
Atlas,2,S,Impact Prep,Sighted,117.8969713,133.1526125,140.7292862,65.14454012,96.01021183,112.1189252,55,65.14454012,102.8653384,138.5236931,110.9815363,126.6062618,129.2663332,98.6287739,118.3128398,124.0284743,196,-416.6999653,-215.826577,84.15781751,0.11,
Atlas,2,S,Landing,Sighted,105.8434555,130.544852,140.4948643,62.00895904,62.7448458,119.4578107,60,105.6767836,126.6062618,129.2663332,80.88159028,94.85054518,60.84966559,74.85416899,85.26104492,128.0746869,196,206.626611,264.6309721,570.1388964,0.12,
Atlas,5,S,Initiation,Sighted,94.06942784,76.96289454,129.1193694,77.03313329,61.78610582,122.9156142,61,77.55411769,66.95948399,124.3606519,91.25483394,76.96289454,125.6548103,86.34023736,70.37681909,126.2515955,221,-112.3009529,-81.99516844,-10.60785545,0.122,
Atlas,5,S,Forelimb LO,Sighted,89.77541064,94.61183193,143.8388269,59.76344572,66.39564089,124.4860635,39,89.77541064,76.19379804,124.4860635,59.77311284,93.10631206,143.3702079,71.89294725,78.65506598,132.9993902,221,384.6448436,-216.8271028,-242.1044161,0.078,
Atlas,5,S,Impact Prep,Sighted,111.8629295,132.3449918,146.996983,60.86300542,90.61821492,111.5062302,83,61.06479356,94.6603387,145.4645042,108.159414,129.6960335,117.3049808,86.95059749,116.9700808,128.6306779,221,-283.7025328,-211.0584022,169.6356832,0.166,
Atlas,5,S,Landing,Sighted,103.1561995,128.7129145,144.8126953,60.95862533,84.71352751,117.1381565,38,103.1561995,125.8473657,119.3743636,64.81914562,91.13640525,136.7807566,72.86548013,108.0825175,134.224035,221,504.4349195,456.7231636,-229.0314869,0.076,
Atlas,9,M,Initiation,Sighted,91.16095943,78.4006885,133.5712953,77.20751964,64.40778632,119.4558767,26,79.43601516,74.49927554,126.4247063,89.34948729,68.20960457,122.8188094,84.02840934,72.07917629,127.6135104,201,-190.643695,120.955211,69.34417096,0.052,
Atlas,9,M,Forelimb LO,Sighted,88.16061808,101.9307307,148.5566597,57.29644152,65.90199301,124.6995034,34,88.06150085,72.65537592,125.324285,59.2614817,101.9307307,147.1581371,70.13249735,81.74866715,135.2595551,201,423.5296934,-430.5199239,-321.0860613,0.068,
