,fore-aft,lateral,normal
0,-0.06866,-0.16705,-0.8435299999999999
1,-0.08279,-0.11032,-0.8398700000000001
2,-0.06674,-0.16471,-0.8496100000000001
3,-0.05239,-0.15575999999999998,-0.84815
4,-0.07368,-0.12826,-0.8353200000000001
5,-0.07925,-0.11075,-0.8559200000000001
6,-0.08594,-0.10675,-0.8402299999999999
7,-0.05515,-0.1432,-0.8414200000000001
8,-0.08202000000000001,-0.11828,-0.8346399999999999
9,-0.05239,-0.1117,-0.85045
10,-0.08459,-0.12989,-0.8482299999999999
11,-0.0727,-0.16362000000000002,-0.85346
12,-0.0891,-0.1368,-0.83152
13,-0.05249,-0.15939,-0.8469399999999999
14,-0.07507,-0.15327000000000002,-0.84749
15,-0.09532,-0.0999,-0.87035
16,-0.07854,-0.15042,-0.83634
17,-0.09287,-0.14367,-0.8458399999999999
18,-0.07209,-0.15136,-0.8513200000000001
19,-0.0616,-0.09026,-0.8531299999999999
20,-0.07776,-0.14335,-0.84782
21,-0.09865,-0.13016,-0.8378899999999999
22,-0.07468999999999999,-0.13086,-0.83047
23,-0.09972,-0.09321,-0.84014
24,-0.06626,-0.12687,-0.85245
25,-0.11319,-0.13327999999999998,-0.8511700000000001
26,-0.06791,-0.14077,-0.8362799999999999
27,-0.10416,-0.12452,-0.8266899999999999
28,-0.08217999999999999,-0.16885999999999998,-0.8458
29,-0.08196,-0.1455,-0.8422
30,-0.09618,-0.10513,-0.83404
31,-0.09768,-0.15484,-0.8281700000000001
32,-0.08986,-0.12809,-0.83144
33,-0.06823,-0.1511,-0.85503
34,-0.08096,-0.14175,-0.83141
35,-0.08842,-0.1487,-0.83868
36,-0.06175,-0.10906,-0.8315799999999999
37,-0.08936000000000001,-0.09735,-0.83568
38,-0.10805,-0.10882,-0.84645
39,-0.08502,-0.13706,-0.8387899999999999
40,-0.06788,-0.15127000000000002,-0.84611
41,-0.05793,-0.11535,-0.8337700000000001
42,-0.09858,-0.14345,-0.83131
43,-0.08151,-0.15315,-0.8316100000000001
44,-0.08762,-0.1268,-0.8328200000000001
45,-0.08663,-0.09192,-0.82224
46,-0.08651,-0.13008,-0.8419700000000001
