Hop,Onset,First Touch,Recovery
1,1990.1,1674,1340
2,1322,988,678
3,1772.1,1388.1,1084
4,1750,1394,1186
5,826.1,438,186
6,1984.1,1648.1,1352.1
7,3142.2,2816.1,2562.1
8,1722.1,1268.1,908
9,890.1,534.1,286
10,2216.1,1846.1,1552
11,2192.1,1838,1518
12,3234.1,2812.1,2464.1
13,1560.1,1180.1,820
14,1200.1,886,814
15,3172.1,2838.1,2522.1
16,2720.1,2438.1,2158.1
17,1960.1,1700.1,1464
18,1492.1,1156.1,894
19,1950.1,1682.1,1388.1
20,1504.1,1300.1,1028
21,1688.1,1382.1,1032
22,1830,1516.1,1236.1
23,1926,1670,1320
24,2230.1,1978.1,1734.1
25,1940,1614.1,1308
26,1924.1,1672,1416
27,1614,1136,598
28,1886,1308,1016
29,1074,686,318
30,1796.1,1510.1,942
31,1916.1,1628.1,1264
32,1940.1,1662,1132
33,2574.1,2172.1,1628
34,2552,2224.1,1594
35,2454.1,2022.1,1498
36,1370.1,1012.1,512.1
37,1870.1,1532.1,1110
38,1426,1152,664
39,1816.1,1447.1,756
40,1706.1,1458.1,1010
41,1430,1142,794
42,1362.1,1088.1,802.1
43,1424,1136,522
44,2562.1,2106.1,1516.1
45,878,604,266
46,1914.1,1602.1,1088.1
47,2536.1,2290.1,1858.1
48,1466.1,1222,778
49,2012.1,1702.1,1152
50,1458.1,1254,842
