,fore-aft,lateral,normal
0,1.10824,-0.00061,-0.37203
1,1.12112,-0.02785,-0.37389
2,1.11385,-0.02382,-0.35799000000000003
3,1.0812,-0.01398,-0.38525
4,1.06677,-0.06981,-0.40528
5,1.13152,-0.09295,-0.35628000000000004
6,1.06796,-0.10288,-0.40053
7,1.06063,-0.12208,-0.41718
8,1.13838,-0.12938,-0.36875
9,1.04759,-0.14518,-0.39842
10,1.05508,-0.13395,-0.35638000000000003
11,1.06252,-0.19669,-0.39788
12,1.06723,-0.20685,-0.36363
13,1.06299,-0.2309,-0.39855
14,1.11302,-0.16515,-0.35478000000000004
15,1.09304,-0.17240999999999998,-0.36878
16,1.03022,-0.20314,-0.38318
17,1.09092,-0.21481,-0.3714
18,1.09356,-0.22913000000000006,-0.37469
19,1.09905,-0.19899999999999998,-0.35782
20,1.11656,-0.20825,-0.35059
21,1.16954,-0.23536,-0.3438
22,1.13298,-0.21021,-0.35809
23,1.17144,-0.19379,-0.35579
24,1.1796799999999998,-0.2096,-0.36567
25,1.1626299999999998,-0.16701,-0.3604
26,1.18495,-0.17689000000000002,-0.34826
27,1.16406,-0.11565,-0.36103
28,1.20936,-0.13915999999999998,-0.35721
29,1.19356,-0.13804,-0.34337
30,1.19997,-0.13527,-0.3553
31,1.20163,-0.08202000000000001,-0.34639000000000003
32,1.16658,-0.07501000000000001,-0.32539
33,1.17733,-0.08449,-0.34466
34,1.1943,-0.05571,-0.34027
35,1.16802,-0.05014,-0.32651
36,1.13537,-0.03639,-0.36344
37,1.14513,-0.04773,-0.34969
38,1.12988,-0.03899,-0.3633
39,1.14923,-0.0375,-0.36755
40,1.13509,-0.03859,-0.37587
41,1.10437,-0.04758,-0.39483
42,1.09306,-0.04002,-0.39539
43,1.14152,-0.0869,-0.36565
44,1.07418,-0.06833,-0.42904
45,1.07873,-0.06387999999999999,-0.38543
46,1.05613,-0.12572,-0.45838
47,1.05418,-0.14060999999999998,-0.35158
48,1.04315,-0.13565,-0.4452
49,1.07713,-0.15774000000000002,-0.39423
50,1.03785,-0.15258,-0.39371
51,1.02746,-0.19104,-0.44564
52,1.0775,-0.19197,-0.33326
53,1.02045,-0.25696,-0.42954
54,1.06055,-0.27317,-0.38672
55,1.04705,-0.2673,-0.36904
56,1.03071,-0.25475,-0.34851
57,1.04724,-0.26395,-0.38385
58,1.08251,-0.26151,-0.35737
59,1.0431,-0.30738000000000004,-0.41421
60,1.0722,-0.28607,-0.37494
61,1.02783,-0.28007,-0.37088
62,1.04899,-0.28432,-0.39732
63,1.02736,-0.30718,-0.40352
64,1.03555,-0.27476,-0.36964
65,1.04479,-0.32637,-0.38257
66,1.04827,-0.31259000000000003,-0.38589
67,1.07518,-0.27862,-0.38317
68,1.06716,-0.29335,-0.37544
69,1.09481,-0.27817,-0.36079
70,1.11709,-0.27321,-0.35108
71,1.1347200000000002,-0.22879,-0.34919
72,1.15008,-0.20511,-0.33725
73,1.15744,-0.17156,-0.31945
74,1.17443,-0.1519,-0.32406
75,1.17103,-0.17213,-0.32987
76,1.13422,-0.17584,-0.31294
77,1.1484,-0.15442999999999998,-0.31009000000000003
78,1.12702,-0.17898,-0.29868
79,1.1456,-0.15225,-0.30516
80,1.14225,-0.11208,-0.28514
81,1.14234,-0.14472000000000002,-0.27024000000000004
82,1.13542,-0.17407,-0.27965
83,1.12721,-0.1446,-0.26957
84,1.1669200000000002,-0.16022999999999998,-0.26916
85,1.12505,-0.17661,-0.26731
86,1.08017,-0.16265,-0.26588
87,1.14939,-0.13457,-0.26154
88,1.13508,-0.16433,-0.25303000000000003
89,1.12386,-0.14592,-0.2576
90,1.10037,-0.1723,-0.26798
91,1.11808,-0.17138,-0.26701
92,1.12045,-0.15571,-0.254
93,1.14456,-0.17588,-0.24247
94,1.12143,-0.16442,-0.25526
95,1.11175,-0.16665,-0.24147
96,1.1177700000000002,-0.1722,-0.25202
97,1.10283,-0.15738,-0.24074
98,1.13592,-0.1731,-0.23001
99,1.10069,-0.14906,-0.24132
100,1.12285,-0.16796,-0.24469
101,1.12235,-0.16375,-0.22945
102,1.12196,-0.18607,-0.23586
103,1.13958,-0.17773,-0.23749
104,1.14881,-0.17085999999999998,-0.24583
105,1.11965,-0.18676,-0.24787
106,1.10364,-0.18138,-0.23952
107,1.10638,-0.16061,-0.23319
108,1.09822,-0.17057,-0.23636
109,1.12688,-0.1945,-0.22986
110,1.08038,-0.17474,-0.23427
111,1.09248,-0.15286,-0.23919
112,1.11554,-0.15752,-0.22521
113,1.0713700000000002,-0.17934,-0.22712
114,1.09293,-0.15996,-0.23093
