Hop,Onset,First Touch,Recovery
1,1340,986,708
2,1572,1192,942
3,1820.1,1500.1,1172.1
4,1242,958.1,710
5,1268.1,938,732
6,1504.1,1146.1,902.1
7,1158,804,574
8,2616.1,2196,1874
9,1674,1388.1,1184
10,2630.1,2296.1,2048.1
11,1550,1288,968
12,1676,1366.1,1052
13,1580,1280,1028
14,1618.1,1326.1,1092.1
15,2270.1,2038.1,1750.1
16,1430.1,1164,914.1
17,1382,1068,796
18,1396.1,1110,854
20,1414,1152,856
21,1510.1,1260.1,982.1
22,1904.1,1564.1,1280.1
23,1232,880.1,690.1
24,1990.1,1700.1,1460
25,1658.1,1310.1,1174
26,2136.1,1638.1,1326.1
27,2202.1,1742.1,1370.1
28,2022.1,1612.1,1500.1
29,1626.1,1134.1,920
30,2460.1,2052,1816
31,1850.1,1428,1234.1
32,1834.1,1462,1280.1
33,1996.1,1632.1,1384
34,1728,1402,1164
35,2624.1,2222.1,1912.1
37,1542,1194,1014
38,1590.1,1220,874
39,1370,956,722
40,1710.1,1392,1136
41,1876,1508,1240
42,2038.1,1718,1400.1
43,1796.1,1472.1,1216.1
44,2050.1,1658.1,1422.1
45,1702.1,1330,1020
47,2124.1,1754,1460.1
48,1712.1,1368.1,1064
49,2658.1,2334.1,2130.1
50,2084.1,1660.1,1376
51,2268.1,1934.1,1684.1
52,4182.1,3664.2,3334.1
53,2498.1,2142.1,1940.1
