,fore-aft,lateral,normal
0,0.6645300000000001,-0.07867,-0.91271
1,0.66867,-0.06473999999999999,-0.90892
2,0.6919,-0.07185,-0.92362
3,0.6522899999999999,-0.067,-0.91923
4,0.6662399999999999,-0.07312,-0.90965
5,0.64963,-0.09125,-0.91375
6,0.6573399999999999,-0.10082,-0.93218
7,0.64755,-0.05126,-0.94007
8,0.69081,-0.07896,-0.9231
9,0.6703100000000001,-0.03043,-0.94455
10,0.66061,-0.04911,-0.92994
11,0.70028,-0.04979,-0.94032
12,0.64832,-0.029210000000000007,-0.93679
13,0.6731600000000001,-0.03642,-0.95641
14,0.6685300000000001,-0.04972,-0.93091
15,0.67503,-0.05395,-0.92489
16,0.66483,-0.01218,-0.92354
17,0.67503,-0.03712,-0.93965
18,0.70717,-0.07318999999999999,-0.93278
19,0.67972,-0.05946,-0.94204
20,0.65403,-0.04642,-0.94802
21,0.66482,-0.033030000000000004,-0.93724
22,0.68362,-0.03945,-0.94263
23,0.6218,0.0076900000000000015,-0.98062
24,0.60963,0.08602,-0.99025
25,0.61131,0.08952,-0.98338
26,0.66942,0.07474,-0.96549
27,0.66942,0.03721,-0.98169
28,0.63646,0.0379,-0.96786
29,0.65815,0.0128,-0.95393
30,0.67002,0.00589,-0.94479
31,0.6282399999999999,0.02748,-0.97422
32,0.62652,0.0676,-1.00118
33,0.62983,0.08879,-0.98576
34,0.66167,0.07596,-0.98573
35,0.65782,0.07334,-1.00376
36,0.6755399999999999,0.03713,-1.00227
37,0.72045,0.04124,-0.99709
38,0.6894,0.04405,-0.99764
39,0.6887300000000001,0.08104,-1.03533
40,0.65503,0.09141,-1.04926
41,0.65872,0.0877,-1.05021
42,0.7256100000000001,0.07668,-1.05896
43,0.69386,0.06913,-1.06912
44,0.68683,0.07468999999999999,-1.05329
45,0.70426,0.04285,-1.05723
46,0.7136,0.049510000000000005,-1.03124
47,0.6835399999999999,0.01046,-1.03132
48,0.7085600000000001,0.00734,-1.00712
49,0.7082,0.02293,-1.04522
50,0.70534,0.03049,-1.0094
51,0.72349,-0.01521,-1.02913
52,0.69643,-0.08002000000000001,-0.97832
53,0.73263,-0.02188,-1.00388
54,0.70645,-0.055060000000000005,-0.96315
55,0.73455,-0.04916,-0.99033
56,0.71553,-0.03283,-1.00596
57,0.69043,-0.08269,-0.98226
58,0.6886,-0.042,-0.96188
59,0.70981,-0.07134,-0.97576
60,0.71507,-0.08632999999999999,-0.98143
61,0.67598,-0.02792,-0.99246
62,0.66785,0.01041,-1.03229
63,0.6269100000000001,0.06859,-1.07907
64,0.67281,0.01231,-1.00156
65,0.6382399999999999,0.08471000000000001,-1.06236
66,0.6079600000000001,0.08935,-1.06562
67,0.6271,0.09401,-1.06442
68,0.5967,0.11236,-1.06276
69,0.608,0.09816,-1.0602
70,0.62045,0.07497000000000001,-1.04446
71,0.62442,0.09345,-1.04054
72,0.5896399999999999,0.17247,-1.0929
73,0.53896,0.12655,-1.09974
74,0.57438,0.09984,-1.0580200000000002
75,0.63573,0.07411000000000001,-1.02491
76,0.61015,0.05951,-1.03701
77,0.60163,0.06634,-1.04874
78,0.64486,0.01888,-1.00939
79,0.6455,0.01969,-1.0228700000000002
80,0.6046600000000001,0.07342,-1.0335
81,0.5904,0.06362000000000001,-1.09654
82,0.5647399999999999,0.06833,-1.06907
83,0.6038,0.04607,-1.02714
84,0.6089,0.03269,-1.03339
85,0.63935,0.0249,-1.0156
86,0.62171,0.00038,-1.0314
87,0.64953,0.0014,-1.01817
88,0.66028,0.01179,-1.02266
89,0.63556,-0.00818,-1.00424
90,0.67118,-0.0147,-1.00854
91,0.62571,-0.016130000000000002,-1.00834
92,0.63094,-0.0007,-1.04128
93,0.65847,-0.01245,-0.99825
94,0.65967,-0.00893,-1.03994
95,0.66054,0.01437,-1.01669
96,0.64,0.01213,-1.02168
97,0.67995,0.031830000000000004,-1.01156
98,0.6765100000000001,-0.006379999999999999,-1.02651
99,0.65446,0.03837,-1.02747
100,0.6602899999999999,0.03052,-1.02527
101,0.6675,0.00698,-1.02387
102,0.6564399999999999,0.04676,-1.00663
103,0.69076,0.00947,-1.01209
104,0.6564800000000001,0.013999999999999999,-1.02174
105,0.65413,0.02725,-1.00501
106,0.68032,0.00286,-1.00474
107,0.70598,0.03693,-0.99898
108,0.6674800000000001,-0.01396,-0.99816
109,0.68742,0.04955,-1.0197200000000002
110,0.7188100000000001,0.03957,-1.00024
111,0.67816,0.11143,-1.03984
112,0.67928,0.09604,-1.02966
113,0.69323,0.11311,-1.0542200000000002
114,0.66662,0.11199,-1.05238
115,0.69704,0.11262,-1.05168
116,0.70186,0.1184,-1.04725
117,0.6944600000000001,0.09631,-1.04207
118,0.69586,0.13638,-1.03451
119,0.6785,0.09878,-1.04695
120,0.70427,0.08317999999999999,-1.00318
121,0.7074,0.09679,-1.03606
122,0.69328,0.06547,-1.0226
123,0.6976899999999999,0.06174,-0.99217
124,0.70986,0.03488,-1.04726
125,0.6829,0.0649,-1.05032
126,0.69805,0.00592,-1.01462
127,0.7269,0.01991,-1.03429
128,0.70526,0.01232,-1.02698
129,0.72491,-0.03805,-1.03572
130,0.7114699999999999,-0.00392,-1.0055
131,0.6917,-0.00929,-1.03916
132,0.72117,-0.03613,-1.00978
133,0.72596,-0.02729,-1.0138200000000002
134,0.71841,-0.04189,-1.0009
135,0.67793,-0.00202,-1.02976
136,0.73647,-0.04822,-0.98134
137,0.72869,-0.07895,-0.99938
