Hop,Onset,First Touch,Recovery
1,1826.1,1513.1,1246.1
2,1391.1,1058.1,754
3,1608.1,1240.1,972.1
4,3039.1,2740.1,2489.1
5,1591,1294,992
6,2254.1,1934.1,1616
7,1472,1164,792
8,2148.1,1858.1,1608.1
9,2664,2375.1,2018
10,1438.1,1184.1,910
11,1863.1,1601,1203
12,1808.1,1552,1243.1
13,1251.1,961.1,648
14,1722.1,1444.1,1031
15,1547,1289,1059
16,1438,1203,960
17,1852,1569,1332
18,2261.1,1992.1,1766.1
19,1941.1,1627.1,1367.1
20,5594.2,5341.2,5046.2
21,1672,1410.1,1214
22,1614.1,1371.1,1143
23,1721,1487,1239
24,1927.1,1688.1,1479
25,2225,1986,1736.1
26,1698,1379,1152
27,2702.1,2402.1,2094.1
28,1742,1444.1,1102
29,2450.1,2170.1,1952.1
30,1728,1446,1240
31,1568,1292,1086
32,1840,1456.1,1190
33,1830,1560,1382
34,2140.1,1876.1,1646.1
35,1406,1140,824
36,1438.1,1178.1,954
37,1420,1144.1,922.1
38,1598,1342,1086
39,1702.1,1346.1,1166.1
40,2790.1,2426.1,2176.1
41,1586,1286,1034
42,2114.1,1826.1,1584
43,2818.1,2506.1,2278.1
44,1774,1494,1196
45,1658.1,1344.1,1028.1
46,2166.1,1812.1,1438
47,2142,1838,1506
48,1574,1310,1032
49,1996.1,1670.1,1452.1
50,1768.1,1450,1166
,additional comments for all tn's,,
,"on all of them the lighting is not bright thus makes the image look very dark, hard to clearly see some landings ",,
