,fore-aft,lateral,normal
0,-0.06127000000000001,0.14018,0.14252
1,-0.05239,0.10267,0.15392999999999998
2,-0.06312999999999999,0.10627,0.15412
3,-0.0926,0.11024,0.14107999999999998
4,-0.07751,0.12285,0.15646
5,-0.07749,0.12348,0.1395
6,-0.032639999999999995,0.08267999999999999,0.1445
7,-0.06462999999999999,0.11897,0.15637
8,-0.06394,0.10124,0.14013
9,-0.0832,0.11464,0.13759000000000002
10,-0.04879,0.10766,0.13430999999999998
11,-0.04548,0.12558,0.14816
12,-0.05265,0.10679,0.14727
13,-0.06315,0.08664,0.14679
14,-0.06742000000000001,0.10344,0.14527
15,-0.08276,0.13897,0.16075
16,-0.06072,0.08942,0.15961
17,-0.06011,0.13585999999999998,0.13741
18,-0.06206,0.1307,0.15145999999999998
19,-0.07858,0.12541,0.14781
20,-0.056770000000000015,0.08968,0.14938
21,-0.07,0.10376,0.14703
22,-0.07692,0.11301,0.15549000000000002
23,-0.04576,0.12477,0.15007
24,-0.0728,0.10476,0.14444
25,-0.07234,0.09911,0.16061
26,-0.09174,0.09473,0.13896
27,-0.04097,0.12417,0.13354000000000002
28,-0.09725,0.11436,0.14944000000000002
29,-0.0613,0.11583,0.15084
30,-0.08496000000000001,0.10447,0.14017000000000002
31,-0.08381,0.13058,0.14723
32,-0.08212,0.11623,0.15474000000000002
33,-0.07518,0.1008,0.15730999999999998
34,-0.03951,0.12136,0.13796
35,-0.10038,0.14887999999999998,0.15045999999999998
36,-0.05091,0.12465,0.14451
37,-0.09496,0.10712,0.15628
38,-0.05803,0.12222,0.13904
39,-0.04875,0.10326,0.15309
40,-0.03701,0.11585,0.15591
41,-0.08031,0.12044,0.15117
42,-0.0716,0.12707000000000002,0.14725
43,-0.04116,0.12242,0.15453
44,-0.10412,0.10327,0.15362
45,-0.06369,0.12529,0.14535
46,-0.054070000000000014,0.11234,0.14909
47,-0.08093,0.13504000000000002,0.13377999999999998
48,-0.06692999999999999,0.12759,0.14952
49,-0.04716,0.09432,0.14949
50,-0.05079,0.08892,0.16755
51,-0.056879999999999986,0.11595,0.15234
52,-0.07754,0.09982,0.15014
53,-0.05434,0.09565,0.15952
54,-0.06102000000000001,0.09573,0.14864000000000002
55,-0.05044,0.11764,0.14799
56,-0.04221,0.13069,0.14904
57,-0.07425,0.14074,0.13827
58,-0.04269,0.10518,0.14756
59,-0.051,0.07353,0.15142
60,-0.08989,0.15166,0.15764
61,-0.08562,0.14484,0.13234
62,-0.06666,0.12746,0.15419000000000002
63,-0.06586,0.1134,0.15317
64,-0.07417,0.09038,0.15209
65,-0.05403,0.10487,0.14029
66,-0.08353,0.10137,0.14390999999999998
67,-0.08316,0.08327000000000001,0.15924000000000002
68,-0.08669,0.11068,0.15012
69,-0.06996000000000001,0.09967,0.13989
70,-0.06534,0.06386,0.14943
71,-0.04446,0.10699000000000003,0.14665
72,-0.05141,0.10623,0.14422
73,-0.07792,0.1302,0.15488
74,-0.07754,0.10884,0.14687
75,-0.06869,0.11731,0.11521
76,-0.0628,0.10375,0.15869
77,-0.06752999999999999,0.11372,0.14243
78,-0.0781,0.11737,0.13859000000000002
79,-0.05584,0.11212,0.14551
80,-0.06224,0.11035,0.15578
81,-0.03943,0.08974,0.15055
82,-0.08378,0.11394,0.14978
83,-0.10618,0.12445,0.15417
84,-0.07824,0.1051,0.14393
85,-0.07400000000000001,0.09907,0.15043
86,-0.06621,0.09983,0.15214
87,-0.08073999999999999,0.10289,0.13058
88,-0.07031,0.1144,0.16385999999999998
89,-0.07772000000000001,0.12824000000000002,0.14933
90,-0.08041,0.12904000000000002,0.14826
91,-0.0672,0.09699999999999999,0.14344
92,-0.09333,0.10041,0.15934
93,-0.09074,0.10091,0.14894000000000002
94,-0.08722,0.11963,0.1425
95,-0.038360000000000005,0.10997,0.14819000000000002
96,-0.09102,0.1217,0.14123
97,-0.06389,0.13423,0.15325999999999998
98,-0.07586,0.13785999999999998,0.14758
99,-0.07493,0.12508,0.16114
100,-0.09928,0.13144,0.15787
101,-0.07155,0.13835,0.15844
102,-0.07674,0.13037,0.16293
103,-0.07697999999999999,0.13396,0.14875
104,-0.05778,0.15912,0.1468
105,-0.08249,0.14520999999999998,0.16454000000000002
106,-0.06519,0.15656,0.14864000000000002
107,-0.085,0.11363,0.1639
108,-0.061229999999999986,0.14346,0.14559
109,-0.07985,0.13848,0.14085
110,-0.0994,0.13542,0.13044
111,-0.052370000000000014,0.17347,0.15544000000000002
112,-0.06317,0.15716,0.13419
113,-0.10097,0.20179,0.16041
114,-0.07814,0.20693000000000006,0.16422
115,-0.08283,0.21608,0.17015
116,-0.1364,0.19625,0.18451
117,-0.10718,0.23311,0.18338
118,-0.14776,0.20874,0.18323
119,-0.14005,0.27934000000000003,0.19325
120,-0.14261,0.25772,0.21311
121,-0.19442,0.26621,0.21907
122,-0.1665,0.27581,0.21675
123,-0.19104,0.27466,0.22101
124,-0.16616,0.2953,0.2095
125,-0.19918,0.29125,0.20359
126,-0.20711,0.28989000000000004,0.19058
127,-0.19315,0.27467,0.18265
128,-0.20725,0.25218,0.18142
129,-0.19762,0.25452,0.13177
130,-0.18113,0.19105,0.13114
131,-0.20023,0.18395,0.13171
132,-0.19346,0.20265,0.18367
133,-0.14307,0.12422,0.21454
134,-0.14783,0.13606,0.16408
135,-0.13815,0.12808,0.12630999999999998
136,-0.15843,0.0366,0.09331
137,-0.16657,0.03335,0.01674
138,-0.16355999999999998,0.01709,-0.02541
139,-0.16632,-0.0072,-0.04033
140,-0.15437,-0.01623,-0.026000000000000002
141,-0.14925,-0.05473,-0.02432
142,-0.12151,-0.05804,-0.07434
143,-0.1161,-0.04894,-0.05425
144,-0.14565999999999998,-0.02429,-0.07137
145,-0.14153,-0.07902999999999999,-0.06359
146,-0.11683,-0.06445,-0.06295
147,-0.14315999999999998,-0.02943,-0.09008
148,-0.13601,-0.05325,-0.05542
149,-0.11737,-0.07039,-0.06362000000000001
150,-0.13395,-0.05341,-0.06498999999999999
151,-0.13308,-0.08116,-0.04363
152,-0.12068,-0.07132999999999999,-0.05814
153,-0.12029,-0.04014,-0.06106
154,-0.14389000000000002,-0.08094,-0.06787
155,-0.12104,-0.07243,-0.06566
156,-0.14068,-0.05416,-0.06111000000000001
157,-0.13988,-0.07747000000000001,-0.07662999999999999
158,-0.14553,-0.07832,-0.07715
159,-0.13551,-0.10026,-0.06029
160,-0.1518,-0.07985,-0.040310000000000006
161,-0.14025,-0.10195,-0.07145
162,-0.17368,-0.08456,-0.0608
163,-0.15673,-0.10391,-0.08836000000000001
164,-0.14644,-0.05392,-0.06446
165,-0.17069,-0.04362,-0.09267
