Hop,Onset,First Touch,Recovery
1,1680,1354,1146
2,1600.1,1338.1,908
3,1964,1672,1242
4,2568.1,2280,1916.1
5,1808,1534,1176
6,4372.2,4132.2,3768.2
7,1654,1344.1,1050.1
8,2284.1,1964.1,1666.1
9,1818,1532.1,1290.1
10,2654.1,2366.1,1954.1
11,1652.1,1344.1,1018.1
12,1510.1,1180.1,906
13,1778.1,1476,1084
14,2366.1,2032.1,1784.1
15,1494,1188.1,834
16,1484,1168.1,818
17,1132,866,614
18,1358.1,1044.1,740
19,2180.1,1896,1552
20,1462,1222.1,980
21,1408,1162,990.1
22,2062,1780,1502
23,1900.1,1604,1298
24,2922.1,2682.1,2498.1
25,1526.1,1264,1054
26,1660.1,1364,1196
27,1896.1,1570.1,1376.1
28,3330.1,3034.1,2470.1
29,1618,1250,908
30,3792,3592.1,3272.1
31,1936.1,1522.1,1178.1
32,1674,1340,944
33,1916,1534.1,1368
34,2684.1,2348.1,2132.1
35,2054.1,1794.1,1424.1
36,2442.1,2078.1,1688.1
37,2002.1,1632.1,1316.1
38,2470.1,2052.1,1648.1
39,3316.1,3000.1,2462.1
40,1626,1240,712
41,1336,1072,640
42,3368.1,3042.1,2576.1
43,2502.1,2098.1,1766.1
44,2032.1,1748,1446
45,1356.1,1000.1,668.1
46,858.1,614,440
47,1936.1,1596,1360
48,2352.1,2104.1,1774
49,1304.1,996.1,764
50,1082,780,478
51,1314.1,934.1,692
52,754,432,120
53,1088.1,856.1,662
54,768,486,218
