,Elbow_Flex_Ext,Humeral_Pro_Ret,Humeral_Dep_Ele
0,,,
1,,,
2,,,
3,,,
4,,,
5,,,
6,,,
7,,,
8,,,
9,,,
10,,,
11,,,
12,,,
13,,,
14,,,
15,,,
16,,,
17,,,
18,,,
19,,,
20,,,
21,,,
22,,,
23,,,
24,,,
25,,,
26,,,
27,,,
28,,,
29,,,
30,,,
31,,,
32,,,
33,,,
34,,,
35,,,
36,,,
37,,,
38,,,
39,,,
40,,,
41,,,
42,,,
43,,,
44,,,
45,,,
46,,,
47,,,
48,,,
49,,,
50,,,
51,,,
52,,,
53,,,
54,,,
55,,,
56,,,
57,,,
58,,,
59,,,
60,,,
61,,,
62,,,
63,,,
64,,,
65,,,
66,,,
67,,,
68,,,
69,,,
70,,,
71,,,
72,,,
73,,,
74,,,
75,,,
76,,,
77,,,
78,,,
79,,,
80,,,
81,,,
82,,,
83,,,
84,,,
85,,,
86,,,
87,,,
88,,,
89,57.60858277381374,45.201415092072295,49.49034292158274
90,57.44405870794396,44.56884809565673,51.154095748789985
91,58.26333318181621,44.44489867532647,50.32791685997785
92,58.76045448618679,45.22525825642842,50.2754442729933
93,59.023155866428205,45.90153573647865,47.10256538191729
94,59.7445229863028,46.995348971057666,49.2652024421194
95,61.37794288237936,47.33966356763693,51.032845385820735
96,62.68027854689612,47.57964315994809,53.35037737938342
97,62.09577833218143,47.436975951989496,48.58360790220681
98,62.768607769084866,46.05583960965845,51.61864096054572
99,62.231996443291784,44.608553416257195,51.64945323237981
100,61.99587770699461,45.226591916690836,50.00489267110362
101,61.91699052887928,45.326220940328454,49.842001559780954
102,63.713525073591114,46.356215204584174,50.21871375540732
103,63.135764283235645,44.83161775719492,50.78900446049235
104,64.86763968951406,43.668561253589615,54.34049692957072
105,66.08841820506863,45.28915110340117,56.34519591302981
106,64.90872544737347,43.13774285213668,50.3064087544486
107,65.28207076890793,43.34689573573519,47.28087545824093
108,65.04447901749538,42.20544708819156,47.5984795663359
109,66.24744399771673,43.12609896543697,51.43488358690905
110,67.7976167438676,39.14603899109389,53.17598762821541
111,67.63647744814136,39.20977811664886,53.67337970857386
112,68.24564795304241,41.461207003363796,51.90396864706531
113,69.20889200276561,40.897023397453864,57.89636687702324
114,69.01678295154126,37.846324527837226,56.47525865792639
115,70.81302914350243,39.774772043061546,57.78442240844777
116,72.42317494652734,39.57419369707927,57.04999355152262
117,71.44804455243163,38.71407351683334,53.775047910126716
118,71.8311821115084,38.41129227681773,53.58924522121998
119,72.86158093908399,36.05469774107638,54.170373194137454
120,74.11094624457905,37.48583283829004,57.16427199125262
121,74.81935712705754,36.033387888513516,60.77359799015245
122,74.34496026531518,34.81085287174366,60.079098641746796
123,75.60078508799292,36.45753752994054,57.61357495855444
124,77.63155850741127,36.82296687580214,61.182397792293415
