,fore-aft,lateral,normal
0,-0.14933,-0.06101,-0.31621
1,-0.1216,-0.0744,-0.32278
2,-0.16102,-0.06804,-0.33027
3,-0.13321,-0.05214,-0.3342
4,-0.1256,-0.04329,-0.3471
5,-0.1045,-0.04238,-0.34384000000000003
6,-0.12406,-0.054929999999999986,-0.30599
7,-0.14465,-0.05054,-0.332
8,-0.15665,-0.03527,-0.31872
9,-0.15425,-0.03843,-0.32417
10,-0.14937,-0.06597,-0.33355
11,-0.13681,-0.00677,-0.32658000000000004
12,-0.12144,-0.08522,-0.32907
13,-0.15517,-0.05655,-0.31351
14,-0.17211,-0.03772,-0.34105
15,-0.10252,-0.06246,-0.32299999999999995
16,-0.14234000000000002,-0.0321,-0.33009
17,-0.14982,-0.07508,-0.33188
18,-0.12303,-0.034,-0.33873000000000003
19,-0.13242,-0.02112,-0.32939
20,-0.13645,-0.08574,-0.32575
21,-0.13354000000000002,-0.03573,-0.33032
22,-0.13163,-0.05517,-0.32549
23,-0.14189000000000002,-0.05044,-0.35344000000000003
24,-0.1333,-0.052570000000000006,-0.33547
25,-0.13473,-0.0144,-0.35719
26,-0.13260999999999998,-0.06167,-0.33393
27,-0.16322,-0.03381,-0.35034
28,-0.15857000000000002,-0.037000000000000005,-0.33546
29,-0.14826,-0.06761,-0.33758
30,-0.13899,-0.02899,-0.33785
31,-0.13857,-0.053610000000000005,-0.34065
32,-0.13321,-0.05294,-0.33528
33,-0.17917,-0.05414,-0.31664000000000003
34,-0.10605,-0.05778,-0.32325
35,-0.13535,-0.03646,-0.31334
36,-0.14474,-0.04656,-0.31524
37,-0.11253,-0.03494,-0.31983
38,-0.12550999999999998,-0.035460000000000005,-0.31369
39,-0.11665,-0.02471,-0.32829
40,-0.13946,-0.05946,-0.32258000000000003
41,-0.13108,-0.04167,-0.33106
42,-0.16567,-0.03756,-0.32507
43,-0.13684000000000002,-0.07983,-0.33034
44,-0.16469,-0.03424,-0.32087
45,-0.11004,-0.07211000000000001,-0.33661
46,-0.15389,-0.03094,-0.34592
47,-0.12926,-0.04907,-0.33497
48,-0.15695,-0.051320000000000005,-0.34505
49,-0.13776,-0.09175,-0.32353000000000004
50,-0.16732,-0.03368,-0.33971
51,-0.16138,-0.054020000000000006,-0.34185
52,-0.11971,-0.0692,-0.32987
53,-0.12797999999999998,-0.053270000000000005,-0.32232
54,-0.13610999999999998,-0.06283,-0.34939000000000003
