Hop,Onset,First Touch,Recovery
1,3782.1,3228.1,2714.1
2,1694.1,1302.1,874
3,1754,1290,940
4,1392.1,1102.1,824.1
5,1950.1,1548.1,1196
6,2272.1,2012.1,1680.1
7,2400.1,2066.1,1768.1
8,1714.1,1408,1100
9,1752.1,1418,1040
10,1724.1,1422.1,1024
11,1520.1,1190.1,856.1
12,1512,1166,860
13,1832.1,1426.1,1078.1
14,1890.1,1572,1258
15,2236.1,1956.1,1632.1
16,1198,860,572
17,1520.1,1200.1,874
18,2552,2256.1,1890.1
19,1182.1,888.1,522.1
20,1558.1,1204,914
21,1574.1,1282.1,1010
22,2094.1,1818.1,1522.1
23,1750,1426,1114
24,1296,908,598
25,1740.1,1422.1,1002.1
26,1768.1,1216,864
27,1818.1,1554,1260.1
28,1532.1,1132,676
29,1496.1,1178.1,850
30,1522.1,1154,758
31,1642,1250,814
32,1208,876,636
33,1648,1312,828
34,1606.1,1238,776
35,1744.1,1322.1,876
36,1780,1442,1106.1
37,2702.1,2368.1,1880.1
38,1404.1,1048,634
39,2238.1,1852,1438
40,1870.1,1462,1052
41,1910.1,1568,1194
42,2382.1,2022.1,1666.1
43,2028.1,1656.1,1174
44,2502.1,2146.1,1778.1
45,1580.1,1192,850
46,1908.1,1586,1156.1
47,2790.1,2470.1,2116.1
48,1816,1444,1002
49,1612.1,1290.1,934.1
50,2194.1,1700.1,1282
